"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2024","734.40","724.10","734.80","723.70","293.90K","1.41%"
"05/29/2024","724.20","742.80","744.10","724.20","531.56K","-2.84%"
"05/28/2024","745.40","756.40","758.70","743.30","260.61K","-1.43%"
"05/27/2024","756.20","750.30","756.20","748.50","137.57K","0.83%"
"05/24/2024","750.00","748.00","757.80","746.70","250.82K","-0.37%"
"05/23/2024","752.80","751.80","755.80","749.70","233.40K","0.12%"
"05/22/2024","751.90","765.20","767.00","749.60","384.14K","-2.11%"
"05/21/2024","768.10","777.70","778.80","767.70","289.76K","-1.41%"
"05/20/2024","779.10","783.50","785.80","777.70","139.04K","-0.52%"
"05/17/2024","783.20","782.00","790.60","779.20","337.81K","-0.36%"
"05/16/2024","786.00","785.60","788.60","782.60","199.47K","-0.38%"
"05/15/2024","789.00","790.70","790.70","773.10","288.31K","-0.37%"
"05/14/2024","791.90","783.60","791.90","780.10","196.01K","1.19%"
"05/13/2024","782.60","792.60","793.10","782.10","167.05K","-0.74%"
"05/10/2024","788.40","795.10","796.40","787.00","303.92K","-0.08%"
"05/09/2024","789.00","785.00","789.00","778.10","150.18K","0.14%"
"05/08/2024","787.90","790.00","795.70","786.00","204.11K","-0.19%"
"05/07/2024","789.40","787.80","790.80","777.80","215.58K","0.99%"
"05/06/2024","781.70","784.70","787.00","776.90","131.56K","-0.04%"
"05/03/2024","782.00","773.00","791.50","770.50","232.68K","1.96%"
"05/02/2024","767.00","780.00","780.50","765.00","233.17K","-0.96%"
"04/30/2024","774.40","779.90","781.60","772.00","313.90K","-0.62%"
"04/29/2024","779.20","794.50","795.00","775.50","228.21K","-1.64%"
"04/26/2024","792.20","789.00","797.70","784.00","230.33K","1.83%"
"04/25/2024","778.00","804.80","805.70","770.20","312.60K","-2.77%"
"04/24/2024","800.20","794.50","810.80","792.50","242.09K","0.08%"
"04/23/2024","799.60","795.00","799.60","793.50","230.25K","0.35%"
